,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
1341,0.698,0.912,11.0,-8.993,1.0,0.0675,0.0145,0.0225,0.279,0.797,124.917,audio_features,5yR9u8QiOt8hJaddv32oo7,spotify:track:5yR9u8QiOt8hJaddv32oo7,https://api.spotify.com/v1/tracks/5yR9u8QiOt8hJaddv32oo7,https://api.spotify.com/v1/audio-analysis/5yR9u8QiOt8hJaddv32oo7,343400,4,funk
1342,0.513,0.921,1.0,-6.369,0.0,0.0563,8.12e-05,0.0421,0.205,0.414,91.899,audio_features,4DEYwr2SLpvj6plN2ngIfB,spotify:track:4DEYwr2SLpvj6plN2ngIfB,https://api.spotify.com/v1/tracks/4DEYwr2SLpvj6plN2ngIfB,https://api.spotify.com/v1/audio-analysis/4DEYwr2SLpvj6plN2ngIfB,206867,4,funk
1343,0.703,0.639,5.0,-6.183,0.0,0.281,0.299,0.0,0.139,0.893,87.908,audio_features,3eBBbAEBQdr6tkUUd8gyuQ,spotify:track:3eBBbAEBQdr6tkUUd8gyuQ,https://api.spotify.com/v1/tracks/3eBBbAEBQdr6tkUUd8gyuQ,https://api.spotify.com/v1/audio-analysis/3eBBbAEBQdr6tkUUd8gyuQ,247600,4,funk
1344,0.638,0.867,7.0,-6.815,1.0,0.0312,0.000933,2.29e-05,0.103,0.896,142.045,audio_features,1mHZhWJu6RVJhyu3USZdI5,spotify:track:1mHZhWJu6RVJhyu3USZdI5,https://api.spotify.com/v1/tracks/1mHZhWJu6RVJhyu3USZdI5,https://api.spotify.com/v1/audio-analysis/1mHZhWJu6RVJhyu3USZdI5,209693,4,funk
1345,0.641,0.74,6.0,-8.425,1.0,0.118,0.249,0.0,0.281,0.914,152.939,audio_features,5lYpHO6ZO4Shys3GD8rav6,spotify:track:5lYpHO6ZO4Shys3GD8rav6,https://api.spotify.com/v1/tracks/5lYpHO6ZO4Shys3GD8rav6,https://api.spotify.com/v1/audio-analysis/5lYpHO6ZO4Shys3GD8rav6,214973,4,funk
1346,0.358,0.804,0.0,-8.534,1.0,0.302,0.0404,0.0,0.111,0.625,91.842,audio_features,7G83ZwD2msTtFaBQExc8QB,spotify:track:7G83ZwD2msTtFaBQExc8QB,https://api.spotify.com/v1/tracks/7G83ZwD2msTtFaBQExc8QB,https://api.spotify.com/v1/audio-analysis/7G83ZwD2msTtFaBQExc8QB,229960,3,funk
1347,0.49,0.844,1.0,-6.5,0.0,0.0951,0.0224,2.85e-05,0.147,0.439,87.762,audio_features,7kVrQ79jg4nd1r6H9CrmIk,spotify:track:7kVrQ79jg4nd1r6H9CrmIk,https://api.spotify.com/v1/tracks/7kVrQ79jg4nd1r6H9CrmIk,https://api.spotify.com/v1/audio-analysis/7kVrQ79jg4nd1r6H9CrmIk,349507,4,funk
1348,0.791,0.781,10.0,-4.315,0.0,0.23,0.114,2.43e-06,0.171,0.689,166.965,audio_features,4FzMYYcuQg10kBzXgauodD,spotify:track:4FzMYYcuQg10kBzXgauodD,https://api.spotify.com/v1/tracks/4FzMYYcuQg10kBzXgauodD,https://api.spotify.com/v1/audio-analysis/4FzMYYcuQg10kBzXgauodD,316400,4,funk
1349,0.869,0.533,3.0,-5.235,0.0,0.0473,0.545,0.0,0.11,0.695,119.891,audio_features,0R2chMTe2Wx4kN48tCyncI,spotify:track:0R2chMTe2Wx4kN48tCyncI,https://api.spotify.com/v1/tracks/0R2chMTe2Wx4kN48tCyncI,https://api.spotify.com/v1/audio-analysis/0R2chMTe2Wx4kN48tCyncI,144000,4,funk
1350,0.464,0.687,9.0,-7.623,1.0,0.0858,0.00643,2.47e-06,0.32,0.458,91.064,audio_features,1z9EbieFSoVLz7A3Q2DCiu,spotify:track:1z9EbieFSoVLz7A3Q2DCiu,https://api.spotify.com/v1/tracks/1z9EbieFSoVLz7A3Q2DCiu,https://api.spotify.com/v1/audio-analysis/1z9EbieFSoVLz7A3Q2DCiu,218187,4,funk
