,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,trackName,artistName,genre,type,id,uri,track_href,analysis_url,sentiment_polarity,weighted_score
759,97099.0,0.626,0.201,2.0,-12.888,0.0,0.0369,0.951,0.945,0.0905,0.266,131.046,97099.0,4.0,love within,Linearwave,anime lo-fi,audio_features,6wv5lxSg3U9DSC5KvbQdfr,spotify:track:6wv5lxSg3U9DSC5KvbQdfr,https://api.spotify.com/v1/tracks/6wv5lxSg3U9DSC5KvbQdfr,https://api.spotify.com/v1/audio-analysis/6wv5lxSg3U9DSC5KvbQdfr,0.5,915470326061299.1
4509,149797.0,0.613,0.299,7.0,-11.921,1.0,0.0367,0.713,0.943,0.132,0.0946,120.025,150000.0,4.0,The Time We Spent,Jordy Chandra,anime lo-fi,audio_features,0Qg8pD6WZToxNlkvcojLOD,spotify:track:0Qg8pD6WZToxNlkvcojLOD,https://api.spotify.com/v1/tracks/0Qg8pD6WZToxNlkvcojLOD,https://api.spotify.com/v1/audio-analysis/0Qg8pD6WZToxNlkvcojLOD,-0.1,3361316035684573.0
3038,159507.0,0.456,0.469,2.0,-7.838,0.0,0.0339,0.143,0.936,0.212,0.106,120.045,106485.0,4.0,Man of the World (Naruto),Kato,anime lo-fi,audio_features,7qv5uwCfPLt18OcGQSHmi1,spotify:track:7qv5uwCfPLt18OcGQSHmi1,https://api.spotify.com/v1/tracks/7qv5uwCfPLt18OcGQSHmi1,https://api.spotify.com/v1/audio-analysis/7qv5uwCfPLt18OcGQSHmi1,0.0,4058254143696843.0
2887,54910.0,0.522,0.00281,4.0,-29.063,0.0,0.106,0.994,0.968,0.106,0.371,128.915,52057.0,5.0,Loneliness Piano,Kato,anime lo-fi,audio_features,3pWVAht9tU5Oz7GXjY0nac,spotify:track:3pWVAht9tU5Oz7GXjY0nac,https://api.spotify.com/v1/tracks/3pWVAht9tU5Oz7GXjY0nac,https://api.spotify.com/v1/audio-analysis/3pWVAht9tU5Oz7GXjY0nac,0.0,165559585771000.16
2263,139090.0,0.646,0.00669,7.0,-33.03,1.0,0.0503,0.994,0.964,0.0833,0.138,59.009,69584.0,4.0,Hokage's Funeral (From Naruto),Kato,anime lo-fi,audio_features,2Hwac118Kwe9DzjyZDxlyy,spotify:track:2Hwac118Kwe9DzjyZDxlyy,https://api.spotify.com/v1/tracks/2Hwac118Kwe9DzjyZDxlyy,https://api.spotify.com/v1/audio-analysis/2Hwac118Kwe9DzjyZDxlyy,0.0,2690839048429000.0
3424,53443.0,0.718,0.00492,11.0,-31.414,0.0,0.114,0.996,0.973,0.0867,0.307,36.729,53442.0,4.0,Oh! Student and Teacher Affection,Kato,anime lo-fi,audio_features,2QODKgWA0HSrtUsCOp18VY,spotify:track:2QODKgWA0HSrtUsCOp18VY,https://api.spotify.com/v1/tracks/2QODKgWA0HSrtUsCOp18VY,https://api.spotify.com/v1/audio-analysis/2QODKgWA0HSrtUsCOp18VY,0.0,152641451529307.22
1038,91118.0,0.313,0.0211,6.0,-28.785,0.0,0.0602,0.996,0.967,0.0879,0.369,68.13,84500.0,3.0,Blue Bird Piano,Kato,anime lo-fi,audio_features,6W4gN6gKT1FVAptTGJ6JJf,spotify:track:6W4gN6gKT1FVAptTGJ6JJf,https://api.spotify.com/v1/tracks/6W4gN6gKT1FVAptTGJ6JJf,https://api.spotify.com/v1/audio-analysis/6W4gN6gKT1FVAptTGJ6JJf,0.0,756506276895032.2
2721,2081172.0,0.617,0.0806,2.0,-24.894,1.0,0.0348,0.936,0.946,0.121,0.289,98.165,87612.0,4.0,Konoha Peace,Kato,anime lo-fi,audio_features,3MdqGEVxEQdKz3NWp63zY9,spotify:track:3MdqGEVxEQdKz3NWp63zY9,https://api.spotify.com/v1/tracks/3MdqGEVxEQdKz3NWp63zY9,https://api.spotify.com/v1/audio-analysis/3MdqGEVxEQdKz3NWp63zY9,0.0,9.014132195174001e+18
3923,12664.0,0.697,0.00781,4.0,-27.928,0.0,0.0529,0.985,0.962,0.0866,0.219,100.01,103692.0,4.0,Sadness and Sorrow Piano,Kato,anime lo-fi,audio_features,1wqfYcITygmG1bnmuIFnsZ,spotify:track:1wqfYcITygmG1bnmuIFnsZ,https://api.spotify.com/v1/tracks/1wqfYcITygmG1bnmuIFnsZ,https://api.spotify.com/v1/audio-analysis/1wqfYcITygmG1bnmuIFnsZ,0.0,2031013010944.1846
325,277500.0,0.666,0.144,4.0,-18.412,1.0,0.0369,0.947,0.497,0.0645,0.0906,80.037,138750.0,4.0,Aurora,Jisatsu,anime lo-fi,audio_features,2HNazy8cLJs8UlNjNfgn38,spotify:track:2HNazy8cLJs8UlNjNfgn38,https://api.spotify.com/v1/tracks/2HNazy8cLJs8UlNjNfgn38,https://api.spotify.com/v1/audio-analysis/2HNazy8cLJs8UlNjNfgn38,0.0,2.1369234375e+16
